Stations_ID;Stationsname;Geo. Laenge [Grad];Geo. Breite [Grad];Stationshoehe [m];Geberhoehe ueber Grund [m];Von_Datum;Bis_Datum;Geraetetyp Name;Messverfahren;eor;
1420;Frankfurt/Main;8.6;50.05;113;10;19670101;19840630;Universal-Windschreiber 90;Windmessung, elektromechanisch;eor;
1420;Frankfurt/Main;8.6;50.04;112;10;19840701;19900228;Universal-Windschreiber 90;Windmessung, elektromechanisch;eor;
1420;Frankfurt/Main;8.6;50.04;112;10;19900301;19930628;Windmessanlage, unbekannt;Windmessung;eor;
1420;Frankfurt/Main;8.6;50.04;112;10;19930629;20141021;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
1420;Frankfurt/Main;8.52;50.03;99.7;10;20141022;20190830;Windsensor Classic 4.3303;Windmessung, elektr.;eor;
1420;Frankfurt/Main;8.52;50.03;99.7;7.4;20190831;20200826;Windsensor Classic 4.3303 (DWDSYN);Windmessung, elektr.;eor;
1420;Frankfurt/Main;8.52;50.03;99.7;10;20200827;20210328;Ultrasonic Anemometer 2D;Windmessung, elektr.;eor;
1420;Frankfurt/Main;8.52;50.03;99.7;10;20210329;20230426;Ultrasonic Anemometer 2D compact;Windmessung, elektr.;eor;
generiert: 08.05.2023 --  Deutscher Wetterdienst  --
